customer_id,email,created_at,country,status,ingest_date
c00000,user0@example.com,2025-08-10 21:00:00,United States,ACTIVE,2025-12-10
c00001,user1@example.com,2025-04-19T06:00:00+00:00,N/A,inactive,2025-12-10
c00002,user2@example.com,2025-07-20 09:00:00,US,,2099-01-01
c00003,user3@example.com,2025-06-25 04:00:00,N/A,ACTIVE,2025-12-10
c00004,user4@example.com,2025-01-31 07:00:00,india,active,2099-01-01
c00004,user4@example.com,not a date,india,active,2099-01-01
c00005,user5@example.com,2025-10-11 13:00:00,BR,inactive,2025-12-10
c00005,user5@example.com,not a date,BR,inactive,2025-12-10
c00006,user6@example.com,2025-04-07T15:00:00+00:00,IN,ACTIVE,2025-12-10
c00007,user7@example.com,2025-10-19 07:00:00,uk,ACTIVE,2025-12-10
c00008,user8@example.com,2025-08-18T07:00:00+00:00,BR,actve,2025-12-10
c00009,user9@example.com,2025-02-28 08:00:00,uk,ACTIVE,2025-12-10
c00010,user10example.com,2025-04-27T15:00:00+00:00,IN,,2025-12-10
c00011,user11@example.com,2025-01-24 13:00:00,,,2025-12-10
c00012,user12@example.com,2025-05-16 02:00:00,,banned,2025-12-10
c00012,user12@example.com,not a date,,banned,2025-12-10
c00013,user13@example.com,2025-05-31 11:00:00,india,,2025-12-10
c00014,user14@example.com,2025-06-25 09:00:00,india,,2025-12-10
c00015,user15@example.com,2025-08-25 16:00:00,BR,ACTIVE,2025-12-10
c00016,user16example.com,2025-05-08 11:00:00,IN,actve,2025-12-10
c00017,user17@example.com,2025-07-27 16:00:00,IN,active,2025-12-10
c00018,user18@example.com,2025-09-01 17:00:00,usa,ACTIVE,2025-12-10
c00019,user19@example.com,2025-09-02 03:00:00,US,inactive,2099-01-01
c00020,user20@example.com,2025-09-11T09:00:00+00:00,United States,,2025-12-10
c00021,user21@example.com,2025-08-24T08:00:00+00:00,N/A,ACTIVE,2025-12-10
c00022,user22@example.com,2025-02-02T14:00:00+00:00,uk,inactive,2025-12-10
c00023,user23@example.com,2025-06-03 12:00:00,US,banned,2025-12-10
c00024,user24@example.com,2025-07-27 02:00:00,,,2025-12-10
c00025,user25@example.com,2025-09-02 01:00:00,uk,inactive,2025-12-10
c00026,user26@example.com,2025-09-25 22:00:00,N/A,,2025-12-10
c00027,user27@example.com,2025-06-04 00:00:00,usa,active,2025-12-10
c00028,user28@example.com,2025-05-09 08:00:00,usa,,2025-12-10
c00029,user29@example.com,2025-09-25 01:00:00,IN,banned,2025-12-10
c00030,user30@example.com,2025-02-22 06:00:00,US,ACTIVE,2025-12-10
c00030,user30@example.com,not a date,US,ACTIVE,2025-12-10
c00031,user31@example.com,2025-05-29 17:00:00,United States,banned,2099-01-01
c00032,user32@example.com,2025-06-13 12:00:00,United States,actve,2025-12-10
c00033,user33@example.com,2025-10-18 10:00:00,uk,active,2025-12-10
c00034,user34@example.com,2025-09-01T19:00:00+00:00,IN,active,2025-12-10
c00035,user35@example.com,2025-08-08T00:00:00+00:00,US,ACTIVE,2025-12-10
c00036,user36@example.com,2025-01-31 11:00:00,United States,banned,2025-12-10
c00037,user37@example.com,2025-04-29 21:00:00,india,banned,2025-12-10
c00038,user38@example.com,2025-09-08 12:00:00,GB,active,2025-12-10
c00039,user39@example.com,2025-10-03T20:00:00+00:00,usa,actve,2025-12-10
c00040,user40@example.com,2025-01-26 13:00:00,usa,,2025-12-10
c00041,user41@example.com,2025-10-27T15:00:00+00:00,india,actve,2025-12-10
c00042,user42@example.com,2025-04-29T01:00:00+00:00,usa,actve,2025-12-10
c00043,user43@example.com,2025-10-17 21:00:00,uk,inactive,2025-12-10
c00044,user44@example.com,2025-01-22T00:00:00+00:00,india,inactive,2025-12-10
c00045,user45@example.com,2025-05-22T06:00:00+00:00,,,2025-12-10
c00046,user46@example.com,2025-09-01 01:00:00,usa,,2025-12-10
c00047,user47@example.com,2025-10-09 14:00:00,india,banned,2025-12-10
c00048,user48@example.com,2025-02-19T00:00:00+00:00,india,,2025-12-10
c00049,user49@example.com,2025-07-10T16:00:00+00:00,usa,ACTIVE,2025-12-10
c00050,user50@example.com,2025-10-28 15:00:00,US,active,2099-01-01
c00051,user51@example.com,2025-02-20 02:00:00,IN,banned,2025-12-10
c00052,user52@example.com,2025-03-23 18:00:00,,ACTIVE,2099-01-01
c00053,user53@example.com,2025-08-10 07:00:00,N/A,,2025-12-10
c00054,user54@example.com,2025-01-28T14:00:00+00:00,United States,,2025-12-10
c00054,user54@example.com,not a date,United States,,2025-12-10
c00055,user55@example.com,2025-03-22 04:00:00,usa,ACTIVE,2025-12-10
c00056,user56example.com,2025-02-28 13:00:00,GB,,2025-12-10
c00057,user57@example.com,2025-07-13T22:00:00+00:00,usa,actve,2025-12-10
c00058,user58@example.com,2025-06-27 22:00:00,GB,,2025-12-10
c00058,user58@example.com,not a date,GB,,2025-12-10
c00059,user59@example.com,2025-09-05 08:00:00,US,banned,2025-12-10
c00060,user60@example.com,2025-06-03 14:00:00,US,,2025-12-10
c00061,user61example.com,2025-10-11 11:00:00,IN,,2025-12-10
c00062,user62example.com,2025-01-24 01:00:00,BR,,2025-12-10
c00063,user63@example.com,2025-01-12T20:00:00+00:00,N/A,actve,2025-12-10
c00064,user64@example.com,2025-06-05 22:00:00,india,,2025-12-10
c00065,user65@example.com,2025-01-15 04:00:00,GB,,2099-01-01
c00066,user66@example.com,2025-09-22T08:00:00+00:00,BR,actve,2025-12-10
c00067,user67@example.com,2025-07-21 14:00:00,usa,active,2025-12-10
c00068,user68@example.com,2025-05-07T00:00:00+00:00,uk,,2025-12-10
c00069,user69@example.com,2025-01-23T18:00:00+00:00,IN,,2025-12-10
c00070,user70@example.com,2025-05-11T10:00:00+00:00,US,banned,2025-12-10
c00071,user71@example.com,2025-04-14T17:00:00+00:00,BR,banned,2025-12-10
c00072,user72@example.com,2025-04-22T00:00:00+00:00,uk,inactive,2025-12-10
c00073,user73@example.com,2025-10-09 18:00:00,,ACTIVE,2099-01-01
c00074,user74@example.com,2025-10-01T05:00:00+00:00,india,inactive,2025-12-10
c00075,user75@example.com,2025-06-27 00:00:00,IN,,2025-12-10
c00076,user76@example.com,2025-01-17 01:00:00,usa,ACTIVE,2025-12-10
c00077,user77@example.com,2025-07-12 01:00:00,BR,,2099-01-01
c00078,user78@example.com,2025-05-19 23:00:00,United States,inactive,2025-12-10
c00079,user79@example.com,2025-07-07T06:00:00+00:00,,ACTIVE,2099-01-01
c00080,user80@example.com,2025-04-21 14:00:00,United States,active,2025-12-10
